bbref_id,season,Name,Age,Level,Team,G,PA,AB,R,H,X1B,X2B,X3B,HR,RBI,BB,IBB,uBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
semiema01,2022,Marcus Semien,31,Maj-AL,Texas,161,724,657,101,163,101,31,5,26,83,53,0,53,120,4,0,10,7,25,8,0.248,0.304,0.429,0.733
freemfr01,2022,Freddie Freeman,32,Maj-NL,Los Angeles,159,708,612,117,199,129,47,2,21,100,84,12,72,102,5,0,7,6,13,3,0.325,0.407,0.511,0.918
turnetr01,2022,Trea Turner,29,Maj-NL,Los Angeles,160,708,652,101,194,130,39,4,21,100,45,1,44,131,3,0,6,9,27,3,0.298,0.343,0.466,0.809
guerrvl02,2022,Vladimir Guerrero Jr.,23,Maj-AL,Toronto,160,706,638,90,175,108,35,0,32,97,58,6,52,116,6,0,4,26,8,3,0.274,0.339,0.48,0.818
lindofr01,2022,Francisco Lindor,28,Maj-NL,New York,161,706,630,98,170,114,25,5,26,107,59,2,57,133,10,0,7,11,16,6,0.27,0.339,0.449,0.788
olsonma02,2022,Matt Olson,28,Maj-NL,Atlanta,162,699,616,86,148,70,44,0,34,103,75,6,69,170,4,0,4,13,0,0,0.24,0.325,0.477,0.802
bichebo01,2022,Bo Bichette,24,Maj-AL,Toronto,159,697,652,91,189,121,43,1,24,93,41,0,41,155,2,0,2,21,13,8,0.29,0.333,0.469,0.802
judgeaa01,2022,Aaron Judge,30,Maj-AL,New York,157,696,570,133,177,87,28,0,62,131,111,19,92,175,6,0,5,14,16,3,0.311,0.425,0.686,1.111
swansda01,2022,Dansby Swanson,28,Maj-NL,Atlanta,162,696,640,99,177,119,32,1,25,96,49,0,49,182,3,0,4,12,18,7,0.277,0.329,0.447,0.776
rileyau01,2022,Austin Riley,25,Maj-NL,Atlanta,159,693,615,90,168,89,39,2,38,93,57,1,56,168,17,0,4,13,2,0,0.273,0.349,0.529,0.878
alonspe01,2022,Pete Alonso,27,Maj-NL,New York,160,685,597,95,162,95,27,0,40,131,67,16,51,128,12,0,9,17,5,1,0.271,0.352,0.518,0.869
